"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jan-2025","EQ","1,545.00","1,591.70","1,529.70","1,537.25","1,545.00","1,545.15","1,561.38","1,641.35","479.20","9,05,795","1,41,42,87,905.15","65,707"
"31-Dec-2024","EQ","1,580.00","1,580.00","1,506.35","1,582.80","1,535.00","1,537.25","1,539.97","1,641.35","479.20","10,43,931","1,60,76,23,402.45","73,897"
"30-Dec-2024","EQ","1,511.45","1,641.35","1,423.05","1,511.45","1,549.90","1,582.80","1,508.15","1,641.35","479.20","20,38,370","3,07,41,69,257.75","1,36,705"
"27-Dec-2024","EQ","1,549.85","1,574.45","1,503.05","1,592.20","1,517.90","1,511.45","1,543.29","1,619.95","479.20","17,22,278","2,65,79,79,755.10","95,443"
"26-Dec-2024","EQ","1,485.00","1,619.95","1,479.95","1,476.95","1,567.00","1,592.20","1,575.80","1,619.95","479.20","60,85,198","9,58,90,51,411.50","2,36,574"
"24-Dec-2024","EQ","1,419.40","1,524.70","1,409.35","1,415.20","1,470.00","1,476.95","1,486.18","1,524.70","479.20","49,68,299","7,38,37,91,621.90","1,70,626"
"23-Dec-2024","EQ","1,435.00","1,454.00","1,329.95","1,444.50","1,413.00","1,415.20","1,379.02","1,478.40","479.20","29,01,176","4,00,07,79,740.95","1,46,418"
"20-Dec-2024","EQ","1,405.00","1,478.40","1,395.00","1,429.05","1,437.00","1,444.50","1,445.74","1,478.40","456.25","36,97,245","5,34,52,58,640.00","1,52,914"
"19-Dec-2024","EQ","1,302.10","1,446.95","1,296.05","1,328.70","1,409.00","1,429.05","1,391.76","1,446.95","456.25","73,85,976","10,27,94,77,304.30","2,20,732"
"18-Dec-2024","EQ","1,243.00","1,342.90","1,228.50","1,235.90","1,312.00","1,328.70","1,303.08","1,342.90","456.25","41,97,345","5,46,94,85,339.55","1,53,383"
"17-Dec-2024","EQ","1,249.90","1,257.00","1,227.95","1,252.30","1,236.90","1,235.90","1,241.67","1,313.70","456.25","3,53,165","43,85,14,103.90","21,375"
"16-Dec-2024","EQ","1,231.05","1,260.40","1,220.15","1,252.70","1,246.95","1,252.30","1,238.25","1,313.70","456.25","5,36,653","66,45,12,498.35","31,987"
"13-Dec-2024","EQ","1,245.85","1,254.90","1,225.35","1,247.65","1,250.00","1,252.70","1,242.88","1,313.70","456.25","2,95,724","36,75,48,845.80","20,688"
"12-Dec-2024","EQ","1,260.00","1,278.15","1,238.40","1,254.00","1,248.50","1,247.65","1,256.26","1,313.70","456.25","6,47,655","81,36,21,477.70","39,350"
"11-Dec-2024","EQ","1,250.05","1,260.85","1,234.45","1,246.65","1,256.95","1,254.00","1,247.56","1,313.70","456.25","3,78,766","47,25,34,620.55","26,873"
"10-Dec-2024","EQ","1,268.50","1,268.55","1,228.00","1,266.35","1,250.10","1,246.65","1,241.81","1,313.70","456.25","5,27,549","65,51,13,766.45","37,119"
"09-Dec-2024","EQ","1,271.40","1,295.15","1,251.75","1,271.40","1,261.10","1,266.35","1,271.87","1,313.70","456.25","7,43,633","94,58,03,187.25","55,929"
"06-Dec-2024","EQ","1,263.05","1,285.00","1,235.05","1,256.35","1,264.95","1,271.40","1,266.11","1,313.70","456.25","10,22,610","1,29,47,36,862.20","54,050"
"05-Dec-2024","EQ","1,219.00","1,313.70","1,210.40","1,213.70","1,257.05","1,256.35","1,268.62","1,313.70","456.25","39,93,054","5,06,56,83,226.10","1,82,680"
"04-Dec-2024","EQ","1,205.00","1,239.00","1,192.00","1,216.10","1,212.50","1,213.70","1,210.94","1,243.15","456.25","7,58,504","91,85,02,880.10","49,689"
"03-Dec-2024","EQ","1,183.80","1,243.15","1,178.55","1,174.95","1,220.00","1,216.10","1,211.00","1,243.15","456.25","12,89,424","1,56,14,94,776.65","74,923"
"02-Dec-2024","EQ","1,169.80","1,182.95","1,133.70","1,163.75","1,170.00","1,174.95","1,163.19","1,196.90","456.25","7,73,278","89,94,69,812.05","54,852"
"29-Nov-2024","EQ","1,157.35","1,196.90","1,138.70","1,155.35","1,161.05","1,163.75","1,163.80","1,196.90","456.25","10,64,714","1,23,91,19,104.15","60,232"
"28-Nov-2024","EQ","1,150.80","1,177.35","1,143.45","1,145.80","1,150.00","1,155.35","1,159.55","1,189.00","456.25","7,71,988","89,51,55,793.70","51,903"
"27-Nov-2024","EQ","1,163.95","1,175.00","1,129.05","1,157.00","1,146.90","1,145.80","1,148.17","1,189.00","456.25","4,97,913","57,16,90,705.60","32,238"
"26-Nov-2024","EQ","1,107.80","1,174.75","1,105.00","1,103.65","1,151.00","1,157.00","1,148.89","1,189.00","456.25","20,64,350","2,37,17,06,996.00","91,808"
"25-Nov-2024","EQ","1,081.00","1,113.75","1,077.35","1,066.70","1,102.00","1,103.65","1,096.96","1,189.00","456.25","10,50,350","1,15,21,88,927.65","51,490"
"22-Nov-2024","EQ","1,039.80","1,084.50","1,024.15","1,030.65","1,064.30","1,066.70","1,064.63","1,189.00","456.25","12,37,085","1,31,70,41,546.50","71,914"
"21-Nov-2024","EQ","1,013.95","1,035.70","1,003.05","1,013.95","1,028.00","1,030.65","1,024.94","1,189.00","456.25","5,07,065","51,97,12,792.65","42,288"
"19-Nov-2024","EQ","980.60","1,026.10","980.00","978.95","1,011.00","1,013.95","1,012.86","1,189.00","456.25","6,74,749","68,34,24,578.45","48,304"
"18-Nov-2024","EQ","987.95","997.05","969.40","977.50","979.00","978.95","983.30","1,189.00","456.25","2,43,782","23,97,10,391.45","21,803"
